'Sensor1','Sensor2','Sensor3','sum',Grasp
20,34,21,75,Relax
20,32,23,75,Relax
22,32,24,78,Relax
22,37,26,85,Relax
25,56,30,111,Relax
24,52,25,101,Relax
26,49,27,102,Relax
52,50,30,132,Relax
116,62,55,233,Pinch
179,78,78,335,Pinch
205,81,81,367,Pinch
231,79,81,391,Pinch
349,87,68,504,Pinch
289,82,74,445,Pinch
275,85,86,446,Pinch
343,79,91,513,Pinch
366,90,96,552,Pinch
325,88,97,510,Pinch
376,97,105,578,Pinch
354,97,110,561,Pinch
140,107,90,337,Pinch
56,128,58,242,Pinch
52,99,44,195,Relax
53,74,33,160,Relax
50,65,38,153,Relax
42,55,29,126,Relax
35,48,30,113,Relax
43,59,26,128,Relax
45,77,31,153,Relax
51,91,29,171,Relax
42,102,32,176,Relax
47,99,32,178,Relax
47,99,32,178,Relax
51,102,35,188,Relax
46,91,25,162,Relax
46,77,29,152,Relax
59,75,26,160,Relax
59,59,24,142,Relax
170,71,54,295,Pinch
256,85,95,436,Pinch
185,70,68,323,Pinch
134,65,56,255,Pinch
176,79,84,339,Pinch
240,94,82,416,Pinch
252,93,79,424,Pinch
263,82,109,454,Pinch
246,89,82,417,Pinch
273,102,75,450,Pinch
66,81,44,191,Relax
52,85,28,165,Relax
62,91,30,183,Relax
58,95,36,189,Relax
61,66,36,163,Relax
47,60,31,138,Relax
73,72,34,179,Relax
65,88,32,185,Relax
75,112,32,219,Pinch
79,118,38,235,Pinch
69,110,45,224,Pinch
52,114,44,210,Pinch
65,84,28,177,Relax
45,77,23,145,Relax
43,62,22,127,Relax
48,50,27,125,Relax
60,46,28,134,Relax
112,54,59,225,Pinch
162,79,73,314,Pinch
166,74,80,320,Pinch
192,77,81,350,Pinch
161,72,84,317,Pinch
170,70,83,323,Pinch
204,75,112,391,Pinch
190,75,85,350,Pinch
150,71,100,321,Pinch
57,78,48,183,Relax
45,66,34,145,Relax
38,78,25,141,Relax
39,78,23,140,Relax
44,78,24,146,Relax
37,76,28,141,Relax
37,56,33,126,Relax
36,38,26,100,Relax
40,45,29,114,Relax
34,57,25,116,Relax
31,51,26,108,Relax
31,44,28,103,Relax
34,41,25,100,Relax
32,42,22,96,Relax
30,46,24,100,Relax
31,45,23,99,Relax
46,46,27,119,Relax
40,36,33,109,Relax
31,37,28,96,Relax
29,38,23,90,Relax
33,40,26,99,Relax
105,70,67,242,Pinch
159,74,88,321,Pinch
137,99,101,337,Pinch
155,79,93,327,Pinch
143,76,92,311,Pinch
147,85,113,345,Pinch
143,88,114,345,Pinch
162,73,98,333,Pinch
80,68,64,212,Pinch
51,83,43,177,Relax
42,79,37,158,Relax
43,86,34,163,Relax
46,90,41,177,Relax
50,100,42,192,Relax
42,74,42,158,Relax
52,86,30,168,Relax
69,93,35,197,Relax
82,85,45,212,Pinch
82,81,40,203,Pinch
68,78,36,182,Relax
79,86,34,199,Relax
63,79,29,171,Relax
67,84,34,185,Relax
85,66,33,184,Relax
75,55,28,158,Relax
79,55,33,167,Relax
117,53,35,205,Pinch
145,66,56,267,Pinch
181,65,61,307,Pinch
192,77,74,343,Pinch
179,72,71,322,Pinch
193,69,85,347,Pinch
229,81,85,395,Pinch
252,73,68,393,Pinch
222,78,71,371,Pinch
186,63,64,313,Pinch
136,63,41,240,Pinch
131,62,37,230,Pinch
123,56,36,215,Pinch
106,53,34,193,Relax
96,47,33,176,Relax
102,48,32,182,Relax
112,88,32,232,Pinch
103,114,29,246,Pinch
88,133,27,248,Pinch
93,121,27,241,Pinch
92,129,36,257,Pinch
108,101,31,240,Pinch
99,81,32,212,Pinch
117,67,29,213,Pinch
91,69,28,188,Relax
119,77,31,227,Pinch
214,104,47,365,Pinch
292,109,69,470,Pinch
402,111,96,609,Pinch
380,161,100,641,Pinch
395,186,113,694,Pinch
416,237,120,773,Pinch
392,276,110,778,Pinch
256,250,83,589,Pinch
153,188,44,385,Pinch
121,127,40,288,Pinch
83,52,33,168,Relax
76,47,38,161,Relax
83,49,45,177,Relax
88,47,33,168,Relax
93,48,34,175,Relax
98,52,37,187,Relax
103,52,36,191,Relax
103,62,36,201,Pinch
81,63,33,177,Relax
81,52,31,164,Relax
94,55,33,182,Relax
98,49,34,181,Relax
103,51,38,192,Relax
97,54,39,190,Relax
150,68,47,265,Pinch
152,68,56,276,Pinch
208,72,67,347,Pinch
226,80,74,380,Pinch
196,89,75,360,Pinch
266,94,92,452,Pinch
230,104,104,438,Pinch
217,106,86,409,Pinch
258,95,84,437,Pinch
201,69,70,340,Pinch
166,65,51,282,Pinch
175,71,56,302,Pinch
139,63,48,250,Pinch
